US_Metro_Area_Code,US_Metro_Area_Name,Year,Percent_College_Graduates,Percent_White,Population,Region
2400,"Eugene-Springfield, OR",1980,0.204282895,0.963506639,275098,4
2400,"Eugene-Springfield, OR",1990,0.221846968,0.953190386,282912,4
2400,"Eugene-Springfield, OR",2000,0.255093753,0.925179362,322959,4
2440,"Evansville-Henderson, IN-KY",1970,0.081647061,0.941197574,231215,2
2440,"Evansville-Henderson, IN-KY",1980,0.120736845,0.93808192,276134,2
2440,"Evansville-Henderson, IN-KY",1990,0.148365796,0.934757531,278991,2
2440,"Evansville-Henderson, IN-KY",2000,0.184936717,0.921754241,296195,2
2520,"Fargo-Moorhead, ND-MN",1970,0.136007756,0.994677246,120239,2
2520,"Fargo-Moorhead, ND-MN",1980,0.20819667,0.984924495,137490,2
2520,"Fargo-Moorhead, ND-MN",1990,0.249812528,0.974017441,153295,2
2520,"Fargo-Moorhead, ND-MN",2000,0.294010431,0.9544065,174367,2
2560,"Fayetteville, NC",1970,0.099792778,0.735895395,212041,3
2560,"Fayetteville, NC",1980,0.14208132,0.641038179,247079,3
2560,"Fayetteville, NC",1990,0.166195586,0.620171487,274566,3
2560,"Fayetteville, NC",2000,0.191094086,0.558530271,302963,3
2580,"Fayetteville-Springdale-Rogers, AR",1970,0.128074408,0.987501621,77370,3
2580,"Fayetteville-Springdale-Rogers, AR",1980,0.179514393,0.966654062,100394,3
2580,"Fayetteville-Springdale-Rogers, AR",1990,0.200058654,0.95906812,113409,3
2580,"Fayetteville-Springdale-Rogers, AR",2000,0.245429114,0.892502308,157715,3
2620,"Flagstaff, AZ-UT",1970,,,0,4
2620,"Flagstaff, AZ-UT",1980,,,0,4
2620,"Flagstaff, AZ-UT",1990,0.23863104,0.661202848,101760,4
2620,"Flagstaff, AZ-UT",2000,0.294608831,0.665078521,122366,4
2640,"Flint, MI (P)",1970,0.07419984,0.861356139,444340,2
2640,"Flint, MI (P)",1980,0.109275691,0.805482507,450441,2
2640,"Flint, MI (P)",1990,0.127664551,0.782451808,430460,2
2640,"Flint, MI (P)",2000,0.1622812,0.763381541,436141,2
2650,"Florence, AL",1970,0.072300971,0.866648555,117719,3
2650,"Florence, AL",1980,0.115507439,0.870130181,135047,3
2650,"Florence, AL",1990,0.144681454,0.868991137,131327,3
2650,"Florence, AL",2000,0.167784959,0.861042321,142950,3
2655,"Florence, SC",1970,,,0,3
2655,"Florence, SC",1980,0.120448545,0.622196198,110153,3
2655,"Florence, SC",1990,0.14796932,0.608278513,114344,3
2655,"Florence, SC",2000,0.186826363,0.587813377,125761,3
2670,"Fort Collins-Loveland, CO",1970,0.194971859,0.990322173,89896,4
2670,"Fort Collins-Loveland, CO",1980,0.287926525,0.951342285,149161,4
2670,"Fort Collins-Loveland, CO",1990,0.32280162,0.947076023,186135,4
2670,"Fort Collins-Loveland, CO",2000,0.395253986,0.928670287,251494,4
2680,"Fort Lauderdale, FL (P)",1970,0.097449459,0.872084737,620051,3
2680,"Fort Lauderdale, FL (P)",1980,0.151388004,0.878179312,1017915,3
2680,"Fort Lauderdale, FL (P)",1990,0.187800318,0.818384111,1255485,3
2680,"Fort Lauderdale, FL (P)",2000,0.245474041,0.719146073,1623018,3
2700,"Fort Myers-Cape Coral, FL",1970,,,0,3
2700,"Fort Myers-Cape Coral, FL",1980,0.133002445,0.905623496,205170,3
2700,"Fort Myers-Cape Coral, FL",1990,0.164489329,0.913193703,335114,3
2700,"Fort Myers-Cape Coral, FL",2000,0.211043358,0.885442555,440888,3
2710,"Fort Pierce-Port St. Lucie, FL",1970,,,0,3
2710,"Fort Pierce-Port St. Lucie, FL",1980,0.131516695,0.82852757,151149,3
2710,"Fort Pierce-Port St. Lucie, FL",1990,0.161163092,0.856164217,251072,3
2710,"Fort Pierce-Port St. Lucie, FL",2000,0.197389603,0.840657949,319426,3
2720,"Fort Smith, AR-OK",1970,0.061948143,0.935985267,128283,3
2720,"Fort Smith, AR-OK",1980,0.097491197,0.909423709,162762,3
2720,"Fort Smith, AR-OK",1990,0.118422933,0.884401083,175910,3
2720,"Fort Smith, AR-OK",2000,0.137866899,0.851903141,207290,3
2750,"Fort Walton Beach, FL",1970,,,0,3
2750,"Fort Walton Beach, FL",1980,0.165804163,0.886535645,109909,3
2750,"Fort Walton Beach, FL",1990,0.209992737,0.870889425,143776,3
2750,"Fort Walton Beach, FL",2000,0.24237518,0.845112562,170498,3
2760,"Fort Wayne, IN",1970,0.101810001,0.928538084,280457,2
2760,"Fort Wayne, IN",1980,0.143205732,0.906181574,327746,2
2760,"Fort Wayne, IN",1990,0.173296571,0.897631168,363810,2
2760,"Fort Wayne, IN",2000,0.20925495,0.863313317,402841,2
2800,"Fort Worth-Arlington, TX (P)",1970,0.112408474,0.892231762,795958,3
2800,"Fort Worth-Arlington, TX (P)",1980,0.174790457,0.844335914,972908,3
2800,"Fort Worth-Arlington, TX (P)",1990,0.225641772,0.80401212,1332055,3
2800,"Fort Worth-Arlington, TX (P)",2000,0.251943558,0.752990782,1661525,3
2840,"Fresno, CA",1970,0.101668306,0.920647204,413054,4
2840,"Fresno, CA",1980,0.151599512,0.748269618,514554,4
2840,"Fresno, CA",1990,0.16931054,0.634763062,667490,4
2840,"Fresno, CA",2000,0.175455496,0.571723819,799407,4
2880,"Gadsden, AL",1970,0.052392229,0.860447824,94144,3
2880,"Gadsden, AL",1980,0.089006677,0.859000325,103007,3
2880,"Gadsden, AL",1990,0.101854675,0.851061702,99840,3
2880,"Gadsden, AL",2000,0.134213582,0.834494829,103459,3
2900,"Gainesville, FL",1970,0.23080042,0.789922297,104766,3
2900,"Gainesville, FL",1980,0.293837547,0.788579941,151345,3
2900,"Gainesville, FL",1990,0.312158674,0.777187169,204113,3
2900,"Gainesville, FL",2000,0.348674387,0.747310936,244043,3
2920,"Galveston-Texas City, TX (P)",1970,0.103667542,0.79756397,169372,3
2920,"Galveston-Texas City, TX (P)",1980,0.154180884,0.758217752,195628,3
2920,"Galveston-Texas City, TX (P)",1990,0.192685395,0.755348444,217399,3
2920,"Galveston-Texas City, TX (P)",2000,0.227128908,0.742031038,250158,3
2975,"Glens Falls, NY",1970,,,0,1
2975,"Glens Falls, NY",1980,0.133561477,0.982325435,109649,1
2975,"Glens Falls, NY",1990,0.15527764,0.970077336,118539,1
2975,"Glens Falls, NY",2000,0.188956484,0.965467036,124345,1
2980,"Goldsboro, NC",1970,0.070642374,0.654318094,85408,3
2980,"Goldsboro, NC",1980,0.10852176,0.662868083,97020,3
2980,"Goldsboro, NC",1990,0.127392009,0.66045326,104666,3
2980,"Goldsboro, NC",2000,0.149875164,0.617476583,113329,3
2985,"Grand Forks, ND-MN",1970,,,0,2
2985,"Grand Forks, ND-MN",1980,0.225884616,0.957034767,66081,2
2985,"Grand Forks, ND-MN",1990,0.258473814,0.94519192,70683,2
2985,"Grand Forks, ND-MN",2000,0.278461695,0.938223243,66109,2
2995,"Grand Junction, CO",1970,0.10461133,0.990363061,54374,4
2995,"Grand Junction, CO",1980,0.163093045,0.956298292,81483,4
2995,"Grand Junction, CO",1990,0.174078003,0.949401498,93145,4
2995,"Grand Junction, CO",2000,0.219544768,0.937456429,116255,4
3000,"Grand Rapids-Muskegon-Holland, MI",1970,0.090587176,0.9385885,696596,2
3000,"Grand Rapids-Muskegon-Holland, MI",1980,0.14742218,0.911682606,759050,2
3000,"Grand Rapids-Muskegon-Holland, MI",1990,0.184357509,0.895361245,847382,2
3000,"Grand Rapids-Muskegon-Holland, MI",2000,0.236986354,0.85800463,982849,2
3040,"Great Falls, MT",1970,0.128554016,0.965534508,81763,4
3040,"Great Falls, MT",1980,0.173694491,0.943268597,80664,4
3040,"Great Falls, MT",1990,0.183889583,0.930468142,77691,4
3040,"Great Falls, MT",2000,0.214759335,0.923466504,80357,4
3060,"Greeley, CO (P)",1970,0.119637229,0.988891125,89298,4
3060,"Greeley, CO (P)",1980,0.167802244,0.896636367,123421,4
3060,"Greeley, CO (P)",1990,0.183743268,0.890351295,131821,4
3060,"Greeley, CO (P)",2000,0.216452539,0.836185157,180936,4
3080,"Green Bay, WI",1970,0.095865734,0.986401498,157885,2
3080,"Green Bay, WI",1980,0.144628063,0.974785089,175084,2
3080,"Green Bay, WI",1990,0.176827699,0.960466206,194593,2
3080,"Green Bay, WI",2000,0.224655271,0.918854535,226778,2
3120,"Greensboro--Winston Salem--High Point, N",1970,0.099948272,0.816139877,791667,3
3120,"Greensboro--Winston Salem--High Point, N",1980,0.148696184,0.800884783,926076,3
3120,"Greensboro--Winston Salem--High Point, N",1990,0.187411055,0.79536134,1050304,3
3120,"Greensboro--Winston Salem--High Point, N",2000,0.228840947,0.749440074,1251509,3
3150,"Greenville, NC",1970,,,0,3
3150,"Greenville, NC",1980,,,0,3
3150,"Greenville, NC",1990,0.219109505,0.6568048,107924,3
3150,"Greenville, NC",2000,0.263992906,0.626406968,133798,3
3160,"Greenville-Spartanburg-Anderson, SC",1970,0.095215969,0.826331615,472907,3
3160,"Greenville-Spartanburg-Anderson, SC",1980,0.133624047,0.823794186,701921,3
3160,"Greenville-Spartanburg-Anderson, SC",1990,0.170693323,0.818309188,785703,3
3160,"Greenville-Spartanburg-Anderson, SC",2000,0.212420538,0.796013653,909904,3
3180,"Hagerstown, MD (P)",1970,0.065688744,0.966011405,103829,3
3180,"Hagerstown, MD (P)",1980,0.094891153,0.947508991,112964,3
3180,"Hagerstown, MD (P)",1990,0.113704711,0.928916812,121393,3
3180,"Hagerstown, MD (P)",2000,0.146330133,0.902837276,131923,3
3200,"Hamilton-Middletown, OH (P)",1970,0.085207783,0.948521078,226209,2
3200,"Hamilton-Middletown, OH (P)",1980,0.140825331,0.945808291,258760,2
3200,"Hamilton-Middletown, OH (P)",1990,0.187231973,0.944428265,291479,2
3200,"Hamilton-Middletown, OH (P)",2000,0.234825999,0.914184511,332807,2
3240,"Harrisburg-Lebanon-Carlisle, PA",1970,0.093839005,0.929013789,410629,1
3240,"Harrisburg-Lebanon-Carlisle, PA",1980,0.143917903,0.926966727,555145,1
3240,"Harrisburg-Lebanon-Carlisle, PA",1990,0.180157214,0.913622379,587987,1
3240,"Harrisburg-Lebanon-Carlisle, PA",2000,0.226051822,0.882497787,629401,1
3280,"Hartford, CT",1970,0.114168569,0.996315062,42877,1
3280,"Hartford, CT",1980,0.186194003,0.987523019,156740,1
3280,"Hartford, CT",1990,0.249991566,0.978787184,174092,1
3280,"Hartford, CT",2000,0.274655342,0.964559555,182193,1
